Nodes;Edges;Sequential Time;Parallel Time;
8870;8870;3.230168;1.772326;
8880;8880;1.327714;1.564023;
8890;8890;1.362160;1.390137;
8900;8900;1.298166;1.444663;
8910;8910;1.318256;2.757566;
8920;8920;3.270368;2.748301;
8930;8930;3.262058;2.772975;
8940;8940;3.303111;2.780838;
8950;8950;3.259410;2.767119;
8960;8960;3.357348;2.774098;
8970;8970;3.279214;2.798527;
8980;8980;3.545695;2.782560;
8990;8990;3.309613;2.799396;
9000;9000;3.312015;2.795335;
9010;9010;3.293291;1.529840;
9020;9020;1.340381;1.473082;
9030;9030;1.362009;1.513166;
9040;9040;1.365432;1.493121;
9050;9050;1.364951;1.486335;
9060;9060;1.381214;1.493785;
9070;9070;1.371885;1.499389;
9080;9080;1.383420;1.692447;
9090;9090;1.429194;1.705618;
9100;9100;1.381978;1.512084;
9110;9110;1.397049;1.504976;
9120;9120;1.402899;1.734987;
9130;9130;1.451693;1.646701;
9140;9140;3.407584;2.884392;
9150;9150;3.444708;2.907694;
9160;9160;3.426188;2.902333;
9170;9170;3.476705;2.900785;
9180;9180;3.465341;2.912447;
9190;9190;3.437215;2.895880;
9200;9200;3.489135;2.903726;
9210;9210;3.496377;2.924805;
9220;9220;3.469255;2.937038;
9230;9230;3.492927;2.934893;
9240;9240;3.542627;2.933956;
9250;9250;2.741823;1.448571;
9260;9260;1.419656;1.540489;
9270;9270;1.434908;1.546697;
9280;9280;1.470860;1.760342;
9290;9290;1.449484;1.563545;
9300;9300;3.311134;2.976845;
9310;9310;3.679049;2.979788;
9320;9320;3.564844;2.979954;
9330;9330;3.848299;2.981230;
9340;9340;3.615098;2.996526;
9350;9350;3.736219;2.445570;
9360;9360;1.438062;1.575797;
9370;9370;1.511754;1.756675;
9380;9380;1.520392;1.789549;
9390;9390;1.531298;1.716513;
9400;9400;3.570948;3.079299;
9410;9410;3.649715;3.040428;
9420;9420;3.654002;3.050674;
9430;9430;3.669983;3.052373;
9440;9440;3.646195;3.055833;
9450;9450;3.633343;3.071248;
9460;9460;3.708576;2.033689;
9470;9470;1.499305;1.566926;
9480;9480;2.606201;3.108247;
9490;9490;3.731905;3.119926;
9500;9500;3.765356;3.111509;
9510;9510;3.862510;1.501544;
9520;9520;1.535364;2.470577;
9530;9530;3.847386;3.134235;
9540;9540;3.760056;3.114476;
9550;9550;3.789218;3.144966;
9560;9560;3.842181;2.346538;
9570;9570;1.534572;1.575165;
9580;9580;1.514833;1.649440;
9590;9590;1.529682;1.648545;
9600;9600;1.534493;2.496174;
9610;9610;3.826738;3.157595;
9620;9620;3.815909;3.173195;
9630;9630;3.844872;3.214177;
9640;9640;3.846303;3.181942;
9650;9650;3.863019;3.159171;
9660;9660;3.860303;3.196359;
9670;9670;3.861772;3.211530;
9680;9680;3.916354;3.233532;
9690;9690;3.889362;3.226821;
9700;9700;3.877567;1.557827;
9710;9710;1.571729;1.613720;
9720;9720;1.581038;1.683497;
9730;9730;1.610363;2.787883;
9740;9740;3.847392;3.234214;
9750;9750;3.930932;3.258958;
9760;9760;3.934314;2.832141;
9770;9770;1.582504;1.616433;
9780;9780;3.686948;3.322837;
9790;9790;3.959345;1.861084;
9800;9800;1.623092;1.697714;
9810;9810;1.614325;2.834019;
9820;9820;3.997782;3.301862;
9830;9830;3.973151;3.294788;
9840;9840;4.020948;3.303979;
9850;9850;3.983249;1.609997;
9860;9860;1.639960;2.899521;
9870;9870;4.174718;3.344574;
9880;9880;4.059569;3.354779;
9890;9890;4.069531;3.371910;
9900;9900;3.914993;1.624951;
9910;9910;1.629986;1.722837;
9920;9920;1.650948;2.871460;
9930;9930;4.109655;3.392579;
9940;9940;4.231624;3.371906;
9950;9950;4.142079;3.406125;
9960;9960;4.100358;3.223474;
9970;9970;1.658707;1.663289;
9980;9980;1.688628;3.021049;
9990;9990;4.158732;3.419691;
10000;10000;4.181366;3.453196;
